Charlie Elphicke	2854	CharlieElphicke	52	65555
Afzal Amin	4185		52	65806
Ian Austin	4148		53	65806
Bill Etheridge	4797	BillDudleyNorth	85	65806
Natasha Millward	4321	natashamillward	53	66054
Phil Rowe	1499		85	66054
Mike Wood	4687	mikejwood	52	66054
Resham Kotecha	4186	ReshamKotecha	52	65808
James Barber	4493	CllrJamesBarber	90	65808
Helen Hayes	4322	helenhayes_	53	65808
Finlay Carson	5041		52	14410
David Mundell	1592		52	14411
Archie Dryburgh	4323	DryburghArchie	53	14411
Craig Duncan	5365	duncandundee	90	14412
Lesley Brennan	4324	lesleyeastend	53	14412
Arthur Nichol	5354		804	14412
Helen Grayshan	4820	HelenGrayshan	130	14412
Stewart Hosie	1046	StewartHosieMP	102	14412
Daniel Coleman	5271	ColemanDundee	90	14413
Jim McFarlane	2464		804	14413
James Reekie	5042	james_reekie1	52	14414
Liz Saville-Roberts	4970		77	66096
Mary Clarke	4325		53	66096
Christopher Gillibrand	5380		85	66096
Stephen Churchman	5055		90	66096
Neil Fairlamb	4187	FairlambN	52	66096
Rupa Huq	4326	rupahuq	53	65755
Jon Ball	3115		90	65755
James Symes	4826	JSymesUK	52	65794
Jonathan Arnott	1391	JonathanArnott	85	65823
Martin Warin	4625		63	65823
Stewart Dickson	4591		103	66128
Margaret Anne McKillop	5389		55	66128
Sammy Wilson	1364		70	66128
Claire Wright	5123	ClaireWrightInd	2	65813
Jessica Pearce	4327		53	65813
Ross Greer	5367		130	14415
Andrew Polson	5260		52	14415
Jo Swinson	108	joswinson	90	14415
Amanjit Jhund	3664	amanjit	53	14415
Stephen Timms	983		53	65573
Samir Jassal	5254	samirjassal	52	65573
Paul McGarry	4995		90	14416
Graham Simpson	4075	cllrgsimpson	52	14416
Yvonne Boyle	4778		103	66129
David Roach	4680	davidroachcouk	52	14417
Ettie Spencer	4681		90	14417
Fiona O'Donnell	839		53	14417
Jason Rose	5004	greendadtwit	63	14417
Alan Louttit	4744		2269	14418
David Montgomery	5170	drdavidmonty	52	14418
David Lee	423	whyteleafedavid	90	65856
Sam Gyimah	3936	SamGyimah	52	65856
Helena Windsor	343		85	65856
Tim Macpherson	4834	TimMacpherson	53	65780
Jemima Bland	4494	JemimaBlandLD	90	65780
Mike Glennon	340		85	65780
Carl Walker	4722	carl1545	1931	65780
Mark Maloney	5228	greeneastyorks	63	65979
Greg Knight	2878		52	65979
Kevin Hickson	5113		53	65979
Stephen Lloyd	1056		90	65714
Nigel Jones	5287		85	65714
Jake Lambert	5292	JakeyLambert	53	65714
Caroline Ansell	4188		52	65714
Mike Thornton	4495	mike4eastleigh	90	65881
Mims Davies	4189		52	65881
Mark Latham	5089	MarkLathamUK	53	65881
James Laing	5006	eddisburylabour	53	65756
Ian Priestner	4991	ianpriestnerLD	90	65756
Peter McColl	5163	petermccoll	130	14419
James McMordie	5043	JFJMcMordie	52	14419
